  adding: main.py (deflated 7%)
  adding: utils.py (deflated 4%)
Backup Successful: MyProject_20250710_160531.zip at Thu Jul 10 16:05:35 UTC 2025
  adding: .git/ (stored 0%)
  adding: .git/packed-refs (deflated 13%)
  adding: .git/config (deflated 31%)
  adding: .git/index (deflated 30%)
  adding: .git/hooks/ (stored 0%)
  adding: .git/hooks/push-to-checkout.sample (deflated 55%)
  adding: .git/hooks/pre-receive.sample (deflated 40%)
  adding: .git/hooks/sendemail-validate.sample (deflated 58%)
  adding: .git/hooks/pre-rebase.sample (deflated 59%)
  adding: .git/hooks/pre-applypatch.sample (deflated 38%)
  adding: .git/hooks/pre-commit.sample (deflated 45%)
  adding: .git/hooks/applypatch-msg.sample (deflated 42%)
  adding: .git/hooks/fsmonitor-watchman.sample (deflated 62%)
  adding: .git/hooks/prepare-commit-msg.sample (deflated 50%)
  adding: .git/hooks/commit-msg.sample (deflated 44%)
  adding: .git/hooks/pre-merge-commit.sample (deflated 39%)
  adding: .git/hooks/pre-push.sample (deflated 49%)
  adding: .git/hooks/update.sample (deflated 68%)
  adding: .git/hooks/post-update.sample (deflated 27%)
  adding: .git/objects/ (stored 0%)
  adding: .git/objects/pack/ (stored 0%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.idx (deflated 65%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.rev (deflated 23%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.pack (deflated 3%)
  adding: .git/objects/info/ (stored 0%)
  adding: .git/branches/ (stored 0%)
  adding: .git/description (deflated 14%)
  adding: .git/logs/ (stored 0%)
  adding: .git/logs/refs/ (stored 0%)
  adding: .git/logs/refs/heads/ (stored 0%)
  adding: .git/logs/refs/heads/main (deflated 28%)
  adding: .git/logs/refs/remotes/ (stored 0%)
  adding: .git/logs/refs/remotes/origin/ (stored 0%)
  adding: .git/logs/refs/remotes/origin/HEAD (deflated 28%)
  adding: .git/logs/HEAD (deflated 28%)
  adding: .git/refs/ (stored 0%)
  adding: .git/refs/heads/ (stored 0%)
  adding: .git/refs/heads/main (stored 0%)
  adding: .git/refs/tags/ (stored 0%)
  adding: .git/refs/remotes/ (stored 0%)
  adding: .git/refs/remotes/origin/ (stored 0%)
  adding: .git/refs/remotes/origin/HEAD (stored 0%)
  adding: .git/info/ (stored 0%)
  adding: .git/info/exclude (deflated 28%)
  adding: .git/HEAD (stored 0%)
  adding: step_function_definition.json (deflated 65%)
  adding: Lambdas/ (stored 0%)
  adding: Lambdas/VolumeConvert.py (deflated 43%)
  adding: Lambdas/FilterVolmes.py (deflated 55%)
  adding: Lambdas/LogAndNotify.py (deflated 55%)
Backup Successful: EBSVolumeOptimizer_20250710_165417.zip at Thu Jul 10 16:54:39 UTC 2025
  adding: .git/ (stored 0%)
  adding: .git/packed-refs (deflated 13%)
  adding: .git/config (deflated 31%)
  adding: .git/index (deflated 30%)
  adding: .git/hooks/ (stored 0%)
  adding: .git/hooks/push-to-checkout.sample (deflated 55%)
  adding: .git/hooks/pre-receive.sample (deflated 40%)
  adding: .git/hooks/sendemail-validate.sample (deflated 58%)
  adding: .git/hooks/pre-rebase.sample (deflated 59%)
  adding: .git/hooks/pre-applypatch.sample (deflated 38%)
  adding: .git/hooks/pre-commit.sample (deflated 45%)
  adding: .git/hooks/applypatch-msg.sample (deflated 42%)
  adding: .git/hooks/fsmonitor-watchman.sample (deflated 62%)
  adding: .git/hooks/prepare-commit-msg.sample (deflated 50%)
  adding: .git/hooks/commit-msg.sample (deflated 44%)
  adding: .git/hooks/pre-merge-commit.sample (deflated 39%)
  adding: .git/hooks/pre-push.sample (deflated 49%)
  adding: .git/hooks/update.sample (deflated 68%)
  adding: .git/hooks/post-update.sample (deflated 27%)
  adding: .git/objects/ (stored 0%)
  adding: .git/objects/pack/ (stored 0%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.idx (deflated 65%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.rev (deflated 23%)
  adding: .git/objects/pack/pack-d64e16a4312e41d173b5d13e940de8809673ce96.pack (deflated 3%)
  adding: .git/objects/info/ (stored 0%)
  adding: .git/branches/ (stored 0%)
  adding: .git/description (deflated 14%)
  adding: .git/logs/ (stored 0%)
  adding: .git/logs/refs/ (stored 0%)
  adding: .git/logs/refs/heads/ (stored 0%)
  adding: .git/logs/refs/heads/main (deflated 28%)
  adding: .git/logs/refs/remotes/ (stored 0%)
  adding: .git/logs/refs/remotes/origin/ (stored 0%)
  adding: .git/logs/refs/remotes/origin/HEAD (deflated 28%)
  adding: .git/logs/HEAD (deflated 28%)
  adding: .git/refs/ (stored 0%)
  adding: .git/refs/heads/ (stored 0%)
  adding: .git/refs/heads/main (stored 0%)
  adding: .git/refs/tags/ (stored 0%)
  adding: .git/refs/remotes/ (stored 0%)
  adding: .git/refs/remotes/origin/ (stored 0%)
  adding: .git/refs/remotes/origin/HEAD (stored 0%)
  adding: .git/info/ (stored 0%)
  adding: .git/info/exclude (deflated 28%)
  adding: .git/HEAD (stored 0%)
  adding: step_function_definition.json (deflated 65%)
  adding: Lambdas/ (stored 0%)
  adding: Lambdas/VolumeConvert.py (deflated 43%)
  adding: Lambdas/FilterVolmes.py (deflated 55%)
  adding: Lambdas/LogAndNotify.py (deflated 55%)
Backup Successful: EBSVolumeOptimizer_20250710_170558.zip at Thu Jul 10 17:06:02 UTC 2025
